,address_1_a,address_1_b,address_2_a,address_2_b,age_a,age_b,date_of_birth_a,date_of_birth_b,first_name_a,first_name_b,last_name_a,last_name_b,phone_number_a,phone_number_b,soc_sec_id_a,soc_sec_id_b,state_a,state_b,street_number_a,street_number_b,town_a,town_b,zipcode_a,zipcode_b
656,mcgivern crescent,mcgivern crescent,,,10.0,10.0,19131106,19131106,stephanie,stephanie,pcpeake,pcpeake,02 89147937,02 89147937,3701649,3701649,qld,qlf,16,153,keiraville,keiravikle,4350,4350
657,musson close,musson close,,,20.0,20.0,19611106,19611106,jared,jared,schumann,nguyen,02 62652665,02 62652665,8779391,8779319,sa,sa,13,13,campbelltown,campbelltown,5092,5094
658,banambila street,banambilastreet,st francis village,st francis village,25.0,25.0,19130405,19130405,makayla,makayla,holyoak,holyak,03 84829731,03 84829731,4339463,4339463,act,act,25,25,gosford east,gosford east,2032,2032
659,wheeler crescent,wheeler crescent,,,37.0,37.0,19101024,19101024,william,wilhlam,durbridge,durbridge,03 21470470,03 21470470,4235156,4235156,,,381,381,windsor,windor,2250,2250
660,cromwell circuit,cromwell circuit,,,22.0,22.0,19820220,19825020,mystique,mystique,bernardo,bernatdo,07 69359086,07 69359086,9257366,9257366,vic,vic,100,108,abbotsford,abbotsford,2050,2050
661,kapunda street,kapunda street,buena vista,buena vista,31.0,31.0,19330725,19330752,laura,laura,paterson,paterson,04 49854673,07 10628750,5936346,5936346,qld,qlg,20,20,arcadia,arcadia,2034,2034
662,harcourt street,mayfair,mayfair,harcourt street,24.0,24.0,19491230,19491230,brendan,brendan,leslie,leslie,07 73276774,07 73276774,7474695,7474695,wa,wa,24,24,winston,winston,6010,6010
663,greenough circuit,greenough circuit,rsl veterans retir,rsl veterans retir,25.0,22.0,19290128,19290128,shawn,shawn,couzens,couzens,04 47546842,04 47546842,5741672,5741072,qld,qk,10,10,port adelaide,port adelaide,4114,4114
664,mayne street,mayne sreet,tingara vlge,tingara vlge,34.0,34.0,19030511,19031511,india,india,yeoman,yeoman,02 03069545,02 03269545,3463618,3463618,vic,vic,42,4,st albans,st albans,2285,2285
665,namatjira drive,namatjialdrive,,,32.0,32.0,19741006,19741006,isabella,i.,badger,badger,04 51193001,04 51193001,1600228,1690282,nsw,nsw,5,5,wingham,wingham,2136,2136
666,cordeaux street,cordeauxstreet,unt 2,,,,19110214,19110214,isobel,isobel,reid,reid,02 61608141,02 61608141,7968576,7968676,nsw,nsw,48,12,braddon,braddon,2137,2137
667,ranken place,rankenholace,,,33.0,33.0,19190808,19190808,emiily,emiily,green,green,08 07366566,08 07396566,2423941,2423991,qld,qld,18,18,cleveland,cleveland,4017,4017
668,macquarie place,macquarie place,galveston,galveston,38.0,38.0,19971010,19971010,harry,harry,wang,wang,03 24582219,03 24582219,1564793,1564739,vic,vic,93,98,alice springs,alice srngs,3931,3931
669,downard street,,shanan brae,shanan brae,,,19771010,19771010,finlay,finlay,hendricks,hendrkcks,08 68190397,08 68190397,6336033,6336033,vic,vic,8,8,mcmahons point,mcmahonsdpint,3074,3074
670,turner place,turner place,,,30.0,30.0,19641119,19941228,kody,kody,reid,reis,03 30245572,03 30245572,5074403,5074403,nt,nt,40,43,balcatta,balcatta,3765,3765
671,bushby place,bushby place,,,29.0,29.0,19071102,19071102,chloe,chlfe,campbell,campgel,02 96270196,02 45718434,1237572,1237572,vic,vic,1,1,carlingford,carlingford,3141,3141
672,du faur street,du faur street,,,30.0,30.0,19661220,19662120,ashleigh,ashleigh,weaver,weaveb,02 93034543,02 93034543,3664500,3664500,vic,vic,17,16,bondi junction,bondi junnction,4740,4740
673,richmond street,richmond esrteet,,,22.0,22.0,19740127,19740127,chloe,chloe,lock,lock,04 09438649,04 09438649,7932279,7932279,nsw,,74,74,pakenham,pakenham,5540,5540
674,tuthill place,tuthill place,,,21.0,21.0,19800418,19800418,angus,angus,gully,gully,04 61735775,04 61735775,3050194,3050194,qld,qld,50,50,penrith,penirth,2263,2269
675,pennefather street,pennefather street,,,38.0,38.0,19220806,19220806,lachlan,lachln,matthews,mattehws,02 18918145,02 18918145,2751381,2751381,,,24,23,branxton,branxtyon,2502,2502
676,renny place,renny place,,,29.0,29.0,19851221,19862221,jai,jai,mason,mason,08 30089456,08 30089456,8244721,8244721,nsw,nw,1,1,cherrybrook,cherrybrook,7173,7173
677,hedland circuit,hedland circuit,,,39.0,39.0,19171215,19171215,kayla,kayla,caire,caire,04 03299199,04 03299199,3878672,3876872,qld,qld,34,34,sanctuary point,sanctuary point,4508,4580
678,arden place,arden place,,,37.0,37.0,,,olivia,olivia,hill-smith,hill-sjith,08 25553591,08 25553591,4291379,4291379,nsw,nsw,5,4,putty,puty,5043,5043
679,mina wylie crescent,mina wylie crescent,,,20.0,20.0,19550327,19550227,hannah,mccarthy,mccarthy,hannah,07 76406571,07 76406571,6967238,6962738,sa,sa,6,6,yarraville,yarraville,3498,3498
680,morgan crescent,morgan crescent,oyster farm,oyster arm,38.0,38.0,19480427,19480427,james,james,hunting,huntkmg,07 64525609,07 64525609,8241784,8241784,nsw,nswi,15,15,prospect,prospect,3976,3976
681,adamson crescent,adamson crescent,,,37.0,37.0,19971023,19971023,alannah,plume,plume,alannah,03 63969728,03 63969728,2164155,2164415,nsw,nsw,105,105,aitkenvale,aitkenvale,2262,2262
682,hickson place,hickson place,,,,,19360319,19360319,katelyn,katey,clarke,clarke,02 75578927,02 75578927,7578868,7578868,qld,qld,55,55,elwood,elwold,4507,4507
683,hedley street,hedley street,glenburn,glenburn,34.0,34.0,19820305,19820305,sam,sam,clarke,clatk,08 44638722,08 44638722,6005159,6005159,nsw,nsw,35,35,chinchilla,chinch olla,4610,4610
684,parfitt crescent,parfitt lescent,brentwood village,brentwood village,,,19350904,19350904,jack,jack,nguyen,nguyen,08 82406318,08 82406318,6079751,6079751,qld,qld,2,2,morwell,mowell,3922,3922
685,burramurra avenue,burramurra avenue,,,,,19350501,19350501,mikhaili,mikhsili,wiseman,wiseoac,02 83457340,02 83457340,3022729,3022729,wa,wa,76,7,east guyong,east guyong,4670,4670
686,fairweather circuit,fairweathre circuit,brookton house,brookton house,7.0,7.0,,,zachary,zachay,dixon,dixon,03 79198573,03 79198573,2267892,2267892,qld,qld,97,97,osborne park,osborne park,2261,2216
687,la perouse street,la perouse street,,,38.0,38.0,19930824,19930824,eden,e.,cutcliffe,cutltiffe,02 31333720,02 31333720,9924238,9924238,nsw,ns,60,60,wanniassa,wanniassa,4872,4872
688,mchugh street,mchugh street,gummy gully,gummy gully,37.0,37.0,19051128,19051128,daniele,daniele,longman,longrman,02 00333526,02 00333526,6444561,6444561,sa,sa,7,74,collie,collie,4305,4305
689,levine street,levineg street,springfields farms,springfields farms,,,,,braedon,braedon,braithwaite,braithwaite,02 18282053,02 18282053,5904620,5904620,qld,qld,,,lewiston,lewisyton,3192,3192
690,wakelin circuit,wakelin circuit,,,21.0,26.0,19010626,19010626,bailey,bailey,mccarthy,mccamrfhy,04 60618395,04 60618395,9890087,9890087,qld,qld,14,64,young,young,3030,3030
691,woodger place,woodger place,mountview,,29.0,29.0,19260116,,hamish,hamish,palethorpe,palethorpe,03 56650974,03 56640974,5099885,5099885,vic,vic,8,8,mona vale,mona vale,7310,7310
692,bingham circuit,bingham circuit,kerry street,kerry street,27.0,,19601227,19601227,brayden,braycen,walkley,walkley,03 79817850,03 79817850,4407745,4407745,vic,vic,50,7,loganlea,loganlea,6007,6007
693,maxwell street,maxwell street,,,,,19130816,19130286,tenille,tenille,green,greren,07 06051903,07 06051093,3215681,3215681,nsw,nsw,8,8,ripley,ripley,6057,6057
694,mcdermott street,mcdermottnstreet,,heritage estate,28.0,28.0,19181127,19181127,koula,koula,reinmuth,reinmuth,03 76222610,03 76222610,2035039,2035039,nt,nt,30,30,nambour,namybor,3011,3011
695,leichhardt street,leichhardtstreet,,,28.0,28.0,19190107,19190107,zane,zan e,mclaine,mclsinge,08 06449777,08 06449777,3660029,3660029,vic,vic,54,54,walgett,walgett,2502,2502
696,kirkwood crescent,kirkwood rzcescent,,,31.0,31.0,19561013,19561013,nikita,nikita,campbell,campell,,,2803985,2803985,qld,qld,35,36,bullengarook,bullengarook,2145,2145
697,neeld place,neeld place,,,33.0,33.0,19490924,,jade,jade,hand,han,,,7901092,7901092,qld,qlf,30,30,scarborough,scarborough,7150,7150
698,keats place,keats place,,,24.0,24.0,19420322,19420192,georgia,georgia,bishop,bishop,04 49108908,04 49108908,6992770,6992770,wa,wa,169,16,killara,kill ara,2282,2282
699,macdowell street,macdowell street,garanga,garanga,25.0,25.0,19970408,19970408,connor,connor,forwood,foreood,04 08130604,04 07310604,2894095,2894095,tas,tas,38,34,leichhardt,leichhardt,3018,3018
700,strzelecki crescent,strzeleckirescent,learning earth farm,learning earth farm,31.0,31.0,19990416,19990416,liam,liam,gloster,gloster,07 58316628,07 58316628,9339254,9339254,nsw,nsw,15,15,kempsey,kempde y,6008,6008
701,,,nazareth village,nazareth village,11.0,11.0,19390522,19394512,joel,joel,kuhndt,kuhndt,08 31369202,08 31379022,4369377,4369377,wa,wa,,,burwood east,burwood east,3666,3666
702,merv waite street,merv waite street,,,27.0,27.0,19650131,,gemaley,gemaly,waller,waller,08 87996900,08 87996900,2212041,2212041,nsw,nsw,212,212,dysart,dysart,6054,6054
703,murchison street,murchison street,,,31.0,31.0,19140912,19140912,benjamin,tien,tien,benjajin,04 68044821,04 68044821,8852872,8852972,wa,wa,11,11,mosman,mosman,2196,2196
704,currong street,currong street,kieta,kieta,21.0,12.0,19780901,19780001,tabitha,tabtha,highet,higheg,02 35300512,02 35300512,5194295,5194295,vic,vic,13,13,concord,concord,7252,7252
705,leakey place,leakey poace,bryngola,bryngola,,,19730819,19730819,jack,jack,havelberg,haveoberg,03 48470610,03 48470610,4461601,4461601,nsw,nsw,26,2,hawthorn,hawthorn,3870,3870
706,aitken circuit,aitken circuit,,,39.0,39.0,19240226,19240226,caitlyn,liam,boocock,boocock,08 68819452,08 68819452,2441241,2441251,vic,vic,11,1,cairns,cairns,2034,2034
707,warby place,warby place,inverneath,,26.0,26.0,19011205,19011205,liam,liaam,coulson,coulson,,,6742981,6722981,,,3,3,berwick,berwuck,2705,2705
708,fitzhardinge crescent,fitzhardinge crescent,,,21.0,21.0,19091216,19091216,giuliana,giuliana,matthews,matthews,03 36822067,03 36822067,7738568,7738568,qld,qld,19,19,fairlight,4875,4875,fai5right
709,springvale drive,springvar drive,phillip lodge,,34.0,34.0,19060702,19060702,lauren,lauren,ciplys,ciplys,07 86984108,07 86984108,3303940,3303940,nsw,nsw,19,19,aitkenvale,aitkenvale,3131,3311
710,marakai street,marakai ystreet,,,41.0,41.0,19451016,19451016,simon,s.,vodic,vodic,02 55559474,02 55559474,2068223,2068223,nsw,nsw,13,2,midland,midland,6017,6017
711,mcinnes street,mcinnes street,kangaroo gnd,kangaroo gnd,33.0,34.0,19150813,19150883,sam,sam,nicklason,nicklason,02 09546223,02 09546223,1607347,1607347,nsw,nsw,15,1,berriedale,berriedale,6169,6169
712,lewin street,lewin street,tarlinup,tarlinup,7.0,7.0,19230507,19230507,imogen,imo gen,matthews,matthews,07 64206742,07 64206742,5723850,5723950,qld,qlbd,1,1,ashfield,ashfield,3148,3148
713,follett street,,lakeside manor,lakeside manor,23.0,23.0,,,anneliese,anneljise,green,green,04 14748588,04 14748588,7403293,7403293,nsw,nsw,32,32,pimlico,pimlico,4220,4220
714,evella court,evella court,,,,,19210907,19210907,vendula,venddla,blake,blake,,02 46248368,2719769,2719869,qld,qld,33,33,st lucia,st lucia,2233,2233
715,newman morris circuit,newman motris circuit,,yallambee hostel,9.0,9.0,19400805,19400805,william,w.,green,green,07 82407198,07 82407198,8095778,8095778,vic,vic,56,54,mill park,mill park,5606,5606
716,holyman street,holyman dfreet,lassaan,lassaan,,,19210506,19110506,kaleb,kaleb,walpole,walpole,03 76462093,03 76462093,1881529,1881259,wa,wa,90,90,springbrook,springbrook,3137,3137
717,barlow street,barlow street,,,31.0,31.0,19970211,19976011,ewan,ewan,frahn,frahn,02 23432593,02 23432593,9083164,9083164,wa,a,13,16,aspley,aspley,6054,6054
718,hirschfeld crescent,hirschfeld crescent,,,21.0,21.0,19820228,19820228,chloe,chloe,chandler,chandler,07 31810996,07 31810996,7824256,7824253,nsw,nsw,18,18,eastwood,eastwwod,2370,
719,gurr street,gurr street,,,30.0,30.0,19950228,19960218,eliza,eliza,kaw,kw,02 48598467,02 48598467,4455521,4455521,,,32,14,harris park,harris park,3082,3082
720,maclaurin crescent,maclaurinc tescent,,,29.0,29.0,19590821,19590821,rosa,rosa,drysdale,drysdale,07 12459780,07 12449780,6453079,6453079,qld,qld,44,44,elsternwick,elsternwick,4215,4212
721,jacka crescent,jacka cerscent,banana shed,banana shed,12.0,12.0,19091023,19170319,meg,meg,mcmullen,mcmullen,07 50130980,07 50130980,8681829,8688139,vic,vic,59,59,jewells,jewells,4580,4580
722,sampson close,sampson close,tall pines,tall pines,40.0,40.0,19830730,19830730,tara,t.,leoni,leoi,07 90405517,07 90295517,5787140,5778140,qld,qld,5,5,moss vale,moss vale,2199,2199
723,light street,light street,,,35.0,35.0,19211109,19211109,jessica,jackson,tipunewuti,jessica,08 36615792,08 36615792,6437002,6437002,nsw,nsw,3,3,sandy bay,sandy bay,2194,2194
724,macarthur avenue,blakey close,,,24.0,42.0,19040807,19040087,samantha,samantha,coulls,coulls,02 41426066,02 41426066,8889174,8889174,qld,qld,16,16,indented head,indentwd head,7310,7310
725,windeyer street,windeyer street,rowethorpe,,29.0,29.0,19920828,19920828,mitchell,mitchell,coleman,coleman,03 10172115,02 92252832,4425293,9806386,qld,qld,35,35,pymble,pymble,2208,2208
726,irvine street,irvinestreet,,,28.0,28.0,19300903,19300903,jack,jack,,,04 71385749,04 71485749,7839906,7839906,qld,qkd,15,15,southern cross,southernu cross,6123,6123
727,hampton circuit,hampton circuit,,walungurru community,26.0,26.0,19080603,19080603,kathleen,k.,fitzpatrick,fitzpatrick,04 99011729,04 99071129,2349349,2349394,sa,sa,103,103,westwood,westwood,4226,4226
728,wattle street,wattle street,yakatoon,,26.0,26.0,19460329,19460329,samantha,samantha,maynard,maynard,08 77389547,08 77389547,8374030,8374030,sa,sa,3,5,berwick,berwick,2300,2309
729,burkitt street,burkitt street,ocean star villas,ocean star villas,32.0,32.0,19921216,19921216,alicia,alicia,priest,priest,07 51019038,07 51019038,6056206,6056206,wa,wa,145,143,toowoomba,toowoomba,3803,3803
730,moodie street,moodie street,malsah,,42.0,42.0,19821015,19821015,casey,casey,meale,mewle,04 11393229,04 11393229,5596715,5596715,qld,qld,55,54,oak flats,oaks flat,2287,2287
731,lucy gullett circuit,lucy gullett circuit,kiandra,,,,19770621,19770621,kyle,kyle,,,08 45331343,08 43531343,1411639,1411639,vic,vic,46,46,malvern east,malverbveast,2153,2153
732,gleeson place,gleeson wplace,,,32.0,32.0,19790501,19970591,jackson,j.,guarino,guarino,02 54825254,02 54825254,9438973,9438973,qld,qld,50,50,leeton,leetn,7310,7310
733,,,arawang,arawang,29.0,29.0,19870410,19870410,william,w.,varano,varano,07 72937642,07 72937642,4739650,4739650,qld,qld,16,86,douglas park,douglaag park,4551,4551
734,kirkland circuit,kirkland circuit,,,33.0,33.0,19320614,19320604,emiily,emiily,lodge,lodte,03 68640532,03 68445032,5674544,5674544,nsw,nsw,653,653,bellmere,bellmere,3028,3028
735,glynn place,placd glynn,jeir park,jeir park,34.0,34.0,19020816,19020816,noah,noah,thorpe,thorpe,02 02111261,02 02112161,1255129,1255129,qld,qld,4,5,glenquarry,glenquarry,3175,3175
736,maribyrnong avenue,maribyrnong avenue,,,24.0,24.0,19730825,19730825,erin,green,green,erin,04 29371961,04 29371961,6979050,6979520,vic,vic,92,92,tarban,tarban,5159,5159
737,goldner circuit,goldner ircuit,lanoma,,25.0,25.0,19120730,19120730,delaney,delaney,kerley,kerly,08 23107333,08 23107333,8103134,8103134,vic,vic,185,185,belmont,belmont,4565,4565
738,jabanungga avenue,jabanunggazeavenue,lindsey rise,lindsey rise,25.0,25.0,,,erin,erni,,,03 00485772,03 00485772,4044731,4044731,nsw,sw,2,2,mclaren vale,mclaren vale,6172,6172
739,fiaschi street,fiaschi dvreet,,,32.0,32.0,19800507,19800507,daniel,daniel,harslett,harslett,07 50201941,,9598480,9598480,vic,vij,37,37,orange,orange,3065,3065
740,antares crescent,antares xrescent,,,34.0,34.0,19080209,19080209,wilson,wilsoj,le lievre,,08 01434748,04 57529428,2226370,2226370,sa,sa,175,175,ballimore,ballimore,3431,3431
741,honyong crescent,honyong cfrscent,,,,,19150728,19150728,tarshya,tarshya,ryan,ryam,04 82768659,04 87268659,2329574,2329574,nsw,nsw,6,6,bilgola plateau,bilgola plateau,2533,2533
742,titheradge place,titheradge place,,,32.0,32.0,19100726,19109726,emiily,faense,faehse,emiily,03 17810205,03 17810205,1266319,1266319,vic,vic,20,20,scarborough,scarborough,3518,3518
743,northbourne avenue,northbournk e avenue,cathys creek,cathys reek,27.0,27.0,19640718,19640718,jessica,jessica,hauff,haudf,,,8028708,8028708,,,12,12,king river,king river,6725,6725
744,burkitt street,burkitthstreet,,,,,19840728,19840728,joel,joel,luckman,luclman,08 12377528,08 12377528,5591419,5591419,tas,ta,9,9,thornbury,thornbuy,2526,2526
745,yalgan place,yalgan place,,,38.0,33.0,19581211,19581211,shaun,shaun,tuckwell,tuckull,08 74552101,08 74552101,8496827,8497827,wa,wa,11,11,sale,sale,4017,4017
746,barraclough crescent,,marwara,marwara,31.0,31.0,19850307,19850037,sophie,sophie,noack,noack,02 14979586,02 14979586,6279150,6279520,qld,qld,17,17,leichhardt,leichhardt,4850,4850
747,batchelor street,batchelor street,coolamon road,,33.0,33.0,19450701,19450701,nikki,nikjk,priest,priest,02 73478283,02 73478283,3058391,3058391,,,37,37,magill,magill,3314,3314
748,masters place,masterazplace,,,28.0,28.0,19180531,19180531,joshua,j.,thwaite,thwaite,03 38058155,03 38058155,5174222,5174222,,,143,143,mount eliza,mount eliza,3056,3056
749,thake place,thake place,brentwood vlge,,32.0,35.0,,,nathan,nathan,burman,buraun,03 49721848,03 49721848,1218370,1218370,nsw,nsw,1,1,south grafton,south grafton,3163,3163
750,turriff street,turriff street,coogee beach caravan resort,coogee beach caravan resort,26.0,26.0,19660311,19660311,flynn,fkynn,rudd,rudd,04 42967324,04 42967324,2442389,2442389,nsw,nsw,9,9,ivanhoe,ivan hoe,2230,2293
751,tompsitt court,tompsittq court,,wyuna,,,19440708,19440708,shae,sheqa,harris-stone,harris-stone,04 18800629,04 18800629,9745313,9745313,vic,vic,226,226,lavington,lavington,6725,6725
752,lawrence wackett crescent,lawrence wacett crescent,laura pengilly wing,laura pengilly wing,,,19731226,19731286,caitlin,caitlin,clauson,clauson,07 22711848,07 22711848,8017030,8047039,,,56,56,st kilda,st kilda,3162,3162
753,strzelecki crescent,strzeleckikcrescent,allandale,allandale,25.0,25.0,19470417,19470457,serena,serena,bradshaw,bradshaw,07 62277655,07 62277655,8281609,8281609,sa,sa,7,7,kyabram,kyabram,4610,4160
754,wybalena grove,wybalena grove,gillin park,gillin park,22.0,22.0,19210918,19410928,alexandra,l.,clarke,clarke,03 06678644,03 06678644,7221788,7221788,qld,qld,3,3,greenwood,greenwood,4216,4216
755,,,maranui,,25.0,25.0,19330318,19330318,joshua,joshua,campbell,cambell,08 82664108,08 82664108,9829327,9829227,nsw,nsw,42,42,ringwood,ringwmood,2560,2560
756,slater place,slater pdlace,,,30.0,30.0,19780305,19780305,baxter,b.,ahmed,ahmed,08 57331589,08 57331589,5938977,5938977,nsw,nsw,5,5,port macquarie,port macquarie,2035,2035
757,newton street,newtons treet,,,27.0,27.0,,,elysse,elysse,bullivant,bullivnt,07 96396395,07 96396395,5235555,5479612,qld,qld,296,296,maryborough,maryborough,2151,2151
758,bugden avenue,bugden acenue,,,41.0,41.0,19950712,19950712,benjamin,benjamin,reid,reit,04 56516642,04 56516642,1977940,1977940,sa,sa,2,3,ingleburn,ingleaburn,2506,2506
759,musgrave street,musgrave street,chateau royale,,31.0,31.0,19871126,19871126,samuel,samuel,felstead,felstead,02 35467122,02 35467122,3422586,3422586,vic,,116,116,russell lea,russsekl lea,2546,2546
760,lightfoot crescent,lightfoot crescent,broombie stud,,30.0,30.0,19340423,19340423,indiana,indiaia,fullgrabe,fullgiabe,08 10985750,08 10985750,8569427,3516163,vic,vic,,,mulgrave east,mulgrave east,2905,2905
761,power street,power street,medical centre,medical centre,,,19840125,19840125,matthew,matthew,nguyen,nguyhen,03 33604516,03 33604516,5998812,5998812,wa,w,135,175,st lucia,st luia,6060,6060
762,stewart street,stewart street,delaware,delaware,33.0,33.0,19311021,19311021,thomas,thomas,matthews,mattheows,,,3251780,3251718,wa,wa,30,30,bundaberg,bundaerg,3844,3844
763,tepper circuit,tepper circuit,,,22.0,22.0,19980407,19980407,imogen,imogen,campbell,campbell,02 47159137,02 47159137,4058899,4058899,,,1,5,norwood,nprwogd,0810,0815
764,mayer court,mayer c ourt,,,24.0,24.0,19951119,19951119,oliver,oliver,brock,brock,02 56535591,02 56555591,8893944,8893945,nsw,nsw,16,16,bundaberg,bundaberg,3825,3825
765,cazaly close,cazaly close,,,27.0,27.0,19820415,19829425,archer,archer,laverty,laverty,07 74551673,07 74551673,4613075,4613075,vic,vic,19,7,bomaderry,bomaderry,2525,2525
766,nulsen circuit,nulsen circuit,gwandalan,,32.0,32.0,19650924,19650924,georgia,georgia,rogan,rogane,08 73506423,08 73506423,8361714,8361714,nsw,nsw,12,12,benowa,benowa,2150,2150
767,wanganeen avenue,wanganeen avenue,,,23.0,23.0,19220519,19220519,catherine,catherine,noble,noble,04 79196533,04 79195633,4689982,4698892,sa,ss,19,19,castlemaine,castlemaine,6432,6432
768,fewtrell place,fewtrell place,midway service station,midway service station,,,19751009,19751009,sophie,sophia,white,white,07 63633956,07 63692956,7872961,7872691,vic,vic,12,12,primrose sands,primrose sands,5162,5162
769,parkin street,parkin street,,,28.0,28.0,19881112,19881112,lachlan,lachlan,mckerlie,mckerlie,03 81579640,03 81579640,8175334,8175334,nsw,nzwe,10,10,paralowie,paralowie,7320,7320
770,macdowell street,macdowenlk street,,,39.0,39.0,19680619,19680619,shaun,shaun,vincent,vincent,04 63387939,04 63387939,8497502,8497502,wa,wa,35,5,wahroonga,wahroonga,4814,4814
771,whiteman street,whiteman street,fairfield housing bg,fairfieldh ousing bg,35.0,35.0,19810326,19810326,joshua,mirritjawuy,mirritjawuy,joshuua,,,9870170,9870170,vic,vic,28,28,brighton,brighton,2905,2905
772,lilley street,lilley street,,,33.0,33.0,19350709,19350709,mathilde,mathilde,browne,browne,08 97190925,08 97190925,3552777,3552777,nt,nt,5,5,blacktown,blacokwn,2343,2343
773,fullerton crescent,fullerton crescent,cotswold park,cotswold park,28.0,28.0,19270707,19270707,ebony,ebony,gracie,gracv,02 64890067,02 64890067,1789506,1789506,nsw,nsw,134,134,berwick,berwci,3775,3775
774,mertz place,mertz place,,,30.0,30.0,19440413,19440613,mikayla,mikayla,moody,moody,03 99072456,03 99074256,9503121,9503121,nsw,nsw,22,11,campbelltown,campbeltown,3198,3198
775,alpen street,alpen stfeet,,,31.0,31.0,19181111,19181111,madison,madison,tuckwell,tuckselo,08 49305889,08 49305889,9390284,9390284,vic,vic,12,12,albury,alburjy,2775,2775
776,kent street,kent stsreet,donnelly rvr villg,donnelly rvr villg,29.0,29.0,19931027,19935024,callum,callum,groenveld,groenveld,08 53714925,08 53714925,1634117,1634117,nsw,nsw,490,490,risdon vale,risdonvale,6059,6059
777,,,buderim gardens village,buderim gardens village,,,19821115,19821115,serena,serena,wardle,wardle,07 09687601,07 09237601,7794076,7794076,nsw,naw,132,132,seacombe heights,seacombe heights,4216,4218
778,collier street,collier street,,,30.0,30.0,19800207,19800207,maddison,maddison,kerkham,kerpkham,08 48666485,08 48666485,6522400,6522400,,viv,22,21,rokeby,rokeby,3000,3000
779,nanson place,nanson place,melrose clinic,melrose clinic,30.0,30.0,19601019,19601929,james,james,fauser,fauser,07 85206350,,1260318,1260318,vic,vic,,,nemingha,nemingah,2200,2200
780,farrer street,farrer sgreet,,,32.0,,19191005,19191005,logan,logan,coleman,colman,07 74794295,07 74794295,7348012,7348012,nsw,nsw,30,30,grenfell,grenfll,2221,2221
781,nemarang crescent,nemarang crescent,,,,,19901126,19904216,jasmyn,jasmyn,green,green,08 94117174,08 94117174,7133234,7133234,nsw,nsw,236,23,toorak,toorak,7304,7304
782,higinbotham street,higinbotham street,blacklead farm,blacklead farm,,,19070222,19070233,hannah,hannah,koopman,koopnan,03 07953713,03 07953713,1537301,1537301,nsw,,209,209,smithfield,smithfield,3805,3805
783,charteris crescent,charteris crescent,,,,,19870309,19837009,robert,rupert,juma,juma,07 23570766,07 23570766,1544799,9622390,vic,vic,2,2,mosman,mosman,3178,3178
784,grant crescent,grant crescent,goolwa cottage,,25.0,25.0,19820413,19829413,jade,jade,everett,everett,02 39025509,02 39025509,9389358,9389358,vic,vic,27,27,thornbury,thoryury,5725,5725
785,mcvilly close,mcvilly close,,,13.0,13.0,19880510,19880510,paul,paun,aspinall,aspinall,08 41183745,08 41183745,7596594,7596594,qld,qld,85,853,port macquarie,port mac auarie,3171,3171
786,janga place,janga place,,,27.0,27.0,19721127,19721127,lauren,lauren,chadburn,chadburn,08 12279737,08 12279737,9094960,9094960,nsw,nts,11,11,belmont,belmonlt,5072,5082
787,antill street,antill sfreet,city tafe campus,city tafe campus,30.0,30.0,19120520,19120520,lara,lara,campbell,campbekl,04 09421659,04 09411659,4017524,4017524,nsw,nsw,73,73,caulfield east,caulfield east,2145,2154
788,wendy ey place,wendy ey place,,,28.0,28.0,19901015,19901105,jake,jakd,mason,mason,07 71951727,07 71951727,4005527,4005527,wa,wa,1,9,armidale,armidale,2327,2327
789,allambee street,allambee street,athlone,athlone,,,19820130,19820130,madeleine,madeleine,laurendi,lauaredi,04 86021025,04 86021025,5044955,5044955,nsw,nsw,75,75,taren point,taren ooint,6064,6094
790,temperley street,temperley street,,,,,19770612,19770612,giorgia,giougia,goldsworthy,goldsworothy,08 81533434,08 81533434,5841176,5841176,qld,qlod,207,207,north ward,north ward,2031,2013
791,macleay street,macleay treet,,,34.0,34.0,19060423,19060423,zachary,zachaey,campbell,campbell,07 64059925,07 64059925,5897527,5897527,nsw,nsb,85,85,spearwood,spearwood,3840,3804
792,johnston road,johnston road,cambridge park,cambridge park,34.0,34.0,19990803,19990803,abbey,noble,noble,abbey,04 71926919,04 71926919,6149556,6145996,qld,qld,88,88,buckajo,buckajo,4557,4557
793,,,,,26.0,26.0,19811204,19811204,joshua,josua,burford,capurso,07 44594483,07 44509483,6641468,6641468,act,act,356,356,riverstone,riverstone,3025,3025
794,finniss crescent,finniss crescent,tudor,tudof,26.0,26.0,19551206,19551206,dakota,de clouett,de clouett,dakora,02 17469625,02 17469625,4140139,4140139,nsw,nsw,15,15,o'sullivan beach,o'sullivan beach,3400,3400
795,maccallum circuit,maccallum circuit,beachfront caravn park,,33.0,33.0,19180429,19180429,jakob,jakob,large,larhe,08 15954023,08 15954023,9715495,9715495,nsw,nss,221,222,thornbury,thornbury,2190,2190
796,tepper circuit,tepper ixrcuit,goods la junee street,goods la junee street,26.0,26.0,19171110,19171110,brooke,brooke,white,wight,08 64464450,08 64464450,8107478,8107478,wa,wa,79,71,keilor east,keilor east,2101,2101
797,padbury street,padbury street,brae view,brae view,12.0,12.0,19651007,19651007,lachlan,l.,webb,,08 62161430,08 62161430,1208444,1208443,qld,qld,2,2,mitcham,mitcham,2760,2760
